id	osmid	x	y
105	246858431	-74.0150379	40.7098348
106	42435264	-73.9787421	40.772423
107	42435265	-73.9778392	40.7736617
108	42435266	-73.9773811	40.7742903
109	246858433	-74.0146457	40.7111302
110	42451650	-73.9941369	40.7142698
111	42435269	-73.9769212	40.7749212
112	246858435	-74.0135493	40.715284
113	42435272	-73.9764644	40.7755479
114	42435275	-73.9759718	40.7762237
115	42451660	-73.9930898	40.7179326
116	246858445	-74.0122755	40.7203353
117	246858448	-74.01304	40.7172634
118	42451665	-73.9902395	40.7235015
119	246858449	-74.0132223	40.7165276
120	42435283	-73.9750084	40.7775454
121	42451674	-73.9859541	40.7465291
122	42435295	-73.9745519	40.7781717
123	42435301	-73.9740852	40.7788119
124	42435308	-73.9707754	40.7833527
125	588546798	-74.0149608	40.7048214
126	42451695	-74.0005305	40.7526895
127	42435316	-73.967036	40.7884813
128	42435317	-73.966569	40.7891235
129	42435319	-73.966094	40.7897401
130	42435323	-73.9656281	40.7903716
131	42435328	-73.965178	40.7909938
132	42451712	-73.9749488	40.7203342
133	42435331	-73.9623766	40.794859
134	42435333	-73.9619156	40.7954892
135	373850887	-73.9303361	40.8460516
136	42435335	-73.9614548	40.7961189
137	42435336	-73.9609956	40.7967466
138	42435337	-73.9605349	40.7973764
139	5890982665	-73.9195831	40.8635998
140	42435341	-73.9590861	40.7993567
141	42435343	-73.9586275	40.7999836
142	42435346	-73.9583409	40.8003736
143	42451736	-73.921232	40.861311
144	42435359	-73.9610568	40.8017903
145	42435360	-73.9600733	40.8047062
146	42451744	-73.9480717	40.7704171
147	42435362	-73.9598269	40.8054364
148	373850916	-73.9354432	40.8102102
149	42451754	-73.9471185	40.7717169
150	5333189421	-73.9355028	40.8315002
151	5333189422	-73.9356338	40.8315482
152	1506591534	-73.9612283	40.8118836
153	5333189424	-73.9358211	40.831269
154	596788016	-73.962975	40.7724713
155	1506591536	-73.9621818	40.8105847
156	5333189426	-73.93585	40.8309866
157	42435380	-73.9572422	40.8093983
158	5333189423	-73.9356973	40.8312125
159	42451766	-73.945267	40.774252
160	5333189427	-73.9360376	40.8307352
161	5333189428	-73.9361611	40.8305472
162	42435387	-73.946974	40.799961
163	42435388	-73.9453606	40.7992849
164	42451773	-73.944278	40.775608
165	42435392	-73.9436045	40.7985675
166	588546882	-74.0156376	40.7049447
167	42435395	-73.9421168	40.7979504
168	42435396	-73.9405241	40.797258
169	42435400	-73.9359046	40.7953221
170	42435403	-73.933647	40.794376
171	42451787	-73.9794353	40.7355808
172	588546891	-74.0142449	40.7045237
173	5550244687	-73.9612134	40.7648966
174	5550244688	-73.9615991	40.7650445
175	5550244689	-73.9615223	40.7651455
176	42435412	-73.918927	40.861142
177	42435415	-73.920774	40.861936
178	42435420	-73.992463	40.748469
179	42435422	-73.992006	40.749101
180	42435435	-73.9995926	40.7144649
181	4886250352	-73.9572713	40.7608723
182	42435451	-73.9985963	40.7171195
183	42435456	-73.9979382	40.7181633
184	1544782721	-73.9103581	40.8743004
185	1544782730	-73.9083295	40.8757242
186	42435470	-73.9972983	40.7193413
187	42746772	-73.9080206	40.8783047
188	42435477	-73.9957075	40.7233679
189	1544782747	-73.9066572	40.876749
190	42435485	-73.995351	40.724072
191	246858654	-74.0169087	40.7048317
192	42435491	-73.9948703	40.7250181
193	42435497	-73.9613814	40.7802255
194	42435499	-73.959774	40.779542
195	1544782763	-73.9070878	40.8765175
196	42435504	-73.9580586	40.7788199
197	42435509	-73.9565451	40.7781812
198	62915509	-73.9995869	40.7630545
199	42435514	-73.9549422	40.7775056
200	62915514	-73.9984938	40.7642384
201	42435516	-73.9527041	40.7765623
202	62915516	-73.997585	40.7654859
203	42435518	-73.9503323	40.7755591
204	62915521	-73.9966729	40.7667381
205	42435522	-73.945728	40.773622
206	62915525	-74.0003097	40.7625412
207	4602414021	-74.0061172	40.7237608
208	62915527	-73.9989689	40.7636177
209	62915531	-73.9980379	40.7648642
210	42435534	-73.9842427	40.716953
211	62915536	-73.997127	40.7661147
212	42435538	-73.9825709	40.7164489
213	42435541	-73.9817109	40.7162008
214	42435544	-73.9808692	40.7159409
215	42451932	-73.9274354	40.8571682
216	62915549	-74.0010621	40.7619572
217	42435550	-73.9792045	40.7154372
218	42435553	-73.9783571	40.7151776
219	42435556	-73.9775766	40.7148601
220	42435567	-73.9090578	40.8772238
221	42435578	-74.0047793	40.7375429
222	42435581	-74.0041378	40.7381289
223	42435596	-74.0024906	40.7397447
224	42435598	-74.0019879	40.7404441
225	42435599	-74.001555	40.74108
226	42435603	-74.0011226	40.7416736
227	42451987	-74.002124	40.732841
228	4492821528	-74.0037634	40.7384641
229	42435610	-74.0002679	40.7428467
230	42452006	-74.0087845	40.7318701
231	42435624	-73.9984812	40.7452932
232	42452008	-74.0102717	40.7320066
233	42435629	-73.9975495	40.74658
234	42452015	-74.0062154	40.7231321
235	42435632	-73.9970994	40.7471981
236	42435633	-73.996192	40.748435
237	42435642	-73.9939536	40.7515176
238	42452026	-74.003768	40.722384
239	42435644	-73.9934596	40.7521959
240	42435645	-73.9929759	40.7528582
241	42435646	-73.9925251	40.7534779
242	42435650	-73.992079	40.754091
243	42435654	-73.991177	40.75533
244	42452040	-74.002208	40.721621
245	42435657	-73.9907278	40.7559486
246	42435660	-73.990276	40.756567
247	42435663	-73.9897914	40.7572335
248	42452048	-73.9998563	40.7204467
249	42435671	-73.9888429	40.7585323
250	42452056	-73.9956889	40.7187949
251	42435675	-73.9879285	40.7597869
252	60916829	-73.9403638	40.8540612
253	42435677	-73.9874753	40.7604088
254	42435680	-73.9870177	40.7610365
255	42452067	-73.9938242	40.7181594
256	42435684	-73.9861011	40.7622941
257	42435687	-73.9856481	40.7629156
258	42452076	-73.9907021	40.7172086
259	42452084	-73.9891454	40.7167195
260	42435702	-73.9851929	40.76354
261	42435705	-73.9847413	40.7641596
262	246580346	-74.0084362	40.7447675
263	42435707	-73.9842688	40.7647981
