id	osmid	x	y
109	60686468	14.3218262	50.0800564
110	60686469	14.3227315	50.0797158
111	60686476	14.3180165	50.0811779
112	26804366	14.3450977	50.0975853
113	31850641	14.3744955	50.072275
114	60686481	14.3200283	50.0809833
115	26804371	14.3471952	50.098899
116	30081171	14.4075581	50.0008847
117	7368933525	14.3482122	50.055529
118	60686486	14.3209673	50.0813783
119	1209467031	14.4753828	50.1116503
120	26804375	14.3459106	50.0987647
121	1209467033	14.4766637	50.1120421
122	25952408	14.428538	49.9999827
123	26804379	14.3451742	50.0986823
124	1400111261	14.4010585	50.0874627
125	30081182	14.4054086	50.0013551
126	291504286	14.4191709	50.0012968
127	26804384	14.3446826	50.0986274
128	1209467051	14.4760487	50.1126426
129	60948657	14.369537	50.1045965
130	60948658	14.3702484	50.1047185
131	60948659	14.3706325	50.1050259
132	1018233012	14.4576795	50.1266675
133	60948660	14.3712373	50.1056518
134	60948661	14.3702016	50.1060968
135	25952438	14.4266739	49.997338
136	1209467064	14.4767499	50.111805
137	1209467069	14.4766835	50.1116956
138	25952448	14.4258446	49.9974952
139	25952449	14.4253092	49.9974693
140	25952451	14.4231506	49.9973979
141	1344798922	14.5073482	50.033141
142	158728415	14.5210742	50.1573781
143	158728421	14.5208198	50.157549
144	30081260	14.4228085	50.0214315
145	30081269	14.4233262	50.0234549
146	30081270	14.4253967	50.023257
147	30081271	14.4211097	50.0226207
148	244515062	14.363246	50.1313484
149	25952508	14.4231138	49.9968078
150	30081278	14.4230858	50.0225155
151	30081279	14.4253827	50.0224158
152	1630077184	14.5676769	50.0809759
153	30081281	14.4188266	50.0224143
154	291504385	14.4248456	50.0001373
155	30081283	14.4183143	50.0233568
156	25952515	14.4206427	49.998274
157	30081285	14.4237504	50.0253136
158	30081286	14.4232422	50.0246182
159	291504386	14.4259341	50.0003992
160	1234764040	14.5074204	50.1340217
161	291504389	14.429206	50.0010226
162	30081290	14.4194803	50.0247133
163	30081291	14.4263423	50.0245148
164	524681484	14.5378844	50.0523448
165	291504388	14.4287396	50.0009454
166	3064791310	14.4945792	50.0607973
167	296419599	14.347851	50.098974
168	5725356304	14.4673726	49.9996351
169	291504402	14.4287372	50.0002083
170	296419604	14.3479972	50.0983448
171	208273689	14.4062573	50.0117786
172	30081307	14.4265969	50.0232852
173	25952551	14.4181236	50.0019501
174	2671968557	14.4170534	50.0042974
175	2671968558	14.4178875	50.0043803
176	26804531	14.3471371	50.0993248
177	26804532	14.3468795	50.0995625
178	25952563	14.4164325	50.0019538
179	26804533	14.3462068	50.0999903
180	30081335	14.4257114	50.0219405
181	26804536	14.346859	50.1005323
182	30081338	14.4270815	50.0222657
183	25952571	14.4153444	50.0018942
184	255918395	14.4784482	50.1426322
