,id,x,y,osmid,geometry,highway
2363,2363,-74.0064364,40.7327338,4207862996,POINT (-74.0064364 40.7327338),secondary
2364,2364,-74.0062078,40.7341347,4207862997,POINT (-74.0062078 40.7341347),secondary
2365,2365,-73.9094916,40.8766068,42443990,POINT (-73.9094916 40.8766068),residential
2366,2366,-74.0059831,40.7355264,4207862998,POINT (-74.00598309999999 40.7355264),secondary
2367,2367,-73.9340787,40.8020956,3786728678,POINT (-73.9340787 40.8020956),primary
2368,2368,-73.9341742,40.8019611,3786728679,POINT (-73.9341742 40.8019611),primary
2369,2369,-73.9301013,40.8020974,3786728698,POINT (-73.9301013 40.8020974),motorway
2370,2370,-73.937575,40.826763,42444028,POINT (-73.937575 40.826763),secondary
2371,2371,-73.9320933,40.7872707,3040306430,POINT (-73.93209330000001 40.7872707),unclassified
2372,2372,-73.9497399,40.8179231,42427649,POINT (-73.9497399 40.8179231),residential
2373,2373,-73.977875,40.754728,42444043,POINT (-73.977875 40.754728),secondary
2374,2374,-74.0028017,40.7284697,4321748237,POINT (-74.00280170000001 40.7284697),secondary
2375,2375,-74.0028488,40.7283741,4321748238,POINT (-74.0028488 40.7283741),tertiary
2376,2376,-73.974648,40.753367,42444049,POINT (-73.974648 40.753367),secondary
2377,2377,-73.9730372,40.7526916,42444051,POINT (-73.97303719999999 40.7526916),primary
2378,2378,-73.9684016,40.7507507,42444055,POINT (-73.96840160000001 40.7507507),primary
2379,2379,-73.932337,40.848735,42444060,POINT (-73.932337 40.848735),primary
2380,2380,-73.934966,40.84984,42444069,POINT (-73.934966 40.84984),tertiary
2381,2381,-73.9534377,40.763433,3786876206,POINT (-73.95343769999999 40.763433),residential
2382,2382,-73.936661,40.850448,42444081,POINT (-73.936661 40.850448),primary
2383,2383,-73.9065288,40.8766753,1396352309,POINT (-73.9065288 40.8766753),primary
2384,2384,-73.939236,40.851179,42444097,POINT (-73.93923599999999 40.851179),primary
2385,2385,-73.9990003,40.7085457,42444108,POINT (-73.99900030000001 40.7085457),primary
2386,2386,-73.9940271,40.7095182,42444116,POINT (-73.9940271 40.7095182),primary
2387,2387,-73.948541,40.821487,42427735,POINT (-73.94854100000001 40.821487),tertiary
2388,2388,-73.9919815,40.7098025,42444123,POINT (-73.99198149999999 40.7098025),primary
2389,2389,-73.9808919,40.7142522,42427742,POINT (-73.9808919 40.7142522),primary
2390,2390,-73.9808565,40.7135643,42427744,POINT (-73.9808565 40.7135643),residential
2391,2391,-73.991777,40.7098319,42444129,POINT (-73.991777 40.7098319),primary
2392,2392,-73.9807114,40.7122116,42427747,POINT (-73.9807114 40.7122116),residential
2393,2393,-73.9806225,40.7115207,42427750,POINT (-73.9806225 40.7115207),residential
2394,2394,-74.0034387,40.7325066,5837088104,POINT (-74.0034387 40.7325066),secondary
2395,2395,-74.0035825,40.7322539,5837088105,POINT (-74.00358249999999 40.7322539),residential
