id	osmid	x	y
65	1392574693	24.9486342	60.2560062
66	29786344	24.9784411	60.2654522
67	29786346	24.9778678	60.2661143
68	2430271727	24.9186243	60.2049543
69	1730150643	25.0513312	60.2301431
70	1730150645	25.0532122	60.2302474
71	1730150652	25.0518737	60.2304711
72	1446838525	24.8952029	60.2496111
73	1730150655	25.0551272	60.2306091
74	1392574728	24.9481985	60.2560922
75	1392574730	24.9486135	60.2560955
76	691470603	24.9694123	60.2168324
77	1392574748	24.9484858	60.2561473
78	91357477	24.9932753	60.2764504
79	29786411	24.9816938	60.2657903
80	420020525	24.9208315	60.1692809
81	2892890416	24.9513906	60.2175546
82	4456415549	24.895838	60.2012429
83	4456415551	24.8948959	60.2011009
84	467698001	24.9687367	60.2088234
85	29786453	24.982946	60.2662487
86	1730150744	25.0546099	60.2313027
87	91357531	24.9946156	60.2766468
88	91357532	24.9958748	60.2767089
89	442073456	24.9384586	60.201526
90	29786483	24.9818526	60.2671132
91	250085751	24.9230111	60.1788309
92	25198968	24.8920169	60.1614058
93	250085755	24.928907	60.1785925
94	250085756	24.9292894	60.1778459
95	250085757	24.9280501	60.1777132
96	25198971	24.8920507	60.1612835
97	1730150783	25.0557922	60.2316145
98	29786502	24.984633	60.2655665
99	29786503	24.9848441	60.2658188
100	31490441	25.0839028	60.2420981
101	1347715466	25.0768265	60.2606022
102	1730150803	25.0560483	60.2319124
103	1392574869	24.9394125	60.2568038
104	25199007	24.8897116	60.1611278
105	25921403	25.0996282	60.2300618
106	35652013	24.9742823	60.2192632
107	35652028	24.9730326	60.2240341
108	33980863	24.9774813	60.1881182
109	33980865	24.9787837	60.1903355
110	331448775	24.8796913	60.1503545
111	62587336	25.0073497	60.2687481
112	62587340	25.0070658	60.2694512
113	33980877	24.9692504	60.1985298
114	280986070	25.0107224	60.2294572
115	33980886	24.9640021	60.2021392
116	95650264	24.9381792	60.1970092
117	1392574936	24.9421369	60.2572034
118	280986082	25.011623	60.2281486
119	29786599	24.9858357	60.2648849
120	1392574952	24.9452528	60.2574642
121	265585129	24.9647002	60.2195365
122	1392574955	24.946152	60.2574799
123	292913646	25.0414607	60.2445595
124	292913648	25.0398162	60.2442484
125	280986097	25.0099267	60.2302382
126	314933748	24.9460237	60.1628183
127	314933749	24.9462957	60.1625858
128	26444321	25.1584052	60.2530589
129	667353641	24.9327003	60.1718688
130	25199154	24.8852036	60.1570942
131	25199157	24.8895124	60.1610496
132	3111715382	25.0350584	60.1697463
133	287539767	25.1723635	60.2512653
134	1520042552	24.9317971	60.1928691
135	507019834	25.0562593	60.1665206
136	28246587	24.9076781	60.1631
137	89031228	24.8528389	60.2352966
138	1392575039	24.943918	60.2587436
139	3111715393	25.032716	60.1699214
140	1392575045	24.9448512	60.2588254
141	1392575047	24.9428279	60.2588481
142	1392575051	24.9431407	60.2588441
143	249659987	25.1913738	60.2549713
144	1392575061	24.9438863	60.2588427
145	29786712	24.9877377	60.265272
146	3111715417	25.0345355	60.170343
147	305136221	24.891758	60.2170121
148	305136223	24.8916963	60.2168745
149	1032028769	25.0517046	60.1470497
150	29786723	24.9904518	60.2672471
151	34177639	24.975363	60.2107628
152	354845302	25.026914	60.2674666
153	58753656	24.9439639	60.1657541
154	33981050	24.9807806	60.1929358
155	1384088189	24.866888	60.2519758
156	33981054	24.9813054	60.1907994
157	249660034	25.2218581	60.2500855
158	1384088196	24.8670657	60.2517901
159	6102778500	25.0581177	60.2317217
160	1655931526	25.0462234	60.1753942
161	1384088199	24.8671751	60.2520225
162	249660042	25.230283	60.2524738
163	1384088204	24.8668762	60.2518537
164	249660045	25.2323902	60.2525745
165	1384088207	24.8671092	60.2520297
166	3588063893	24.9183624	60.2545275
167	1384088216	24.8673247	60.2519409
168	1655931556	25.0459619	60.1755662
169	29786790	24.9885026	60.2671621
170	113836720	24.8642131	60.2236607
171	249660087	25.2223068	60.2494566
172	38568635	24.8947675	60.2491477
173	249660114	25.202787	60.270914
174	3111715544	25.0335728	60.168589
175	1655931611	25.0491989	60.178142
176	1388479197	25.0755106	60.2083716
177	265978590	24.8477978	60.2209676
178	1388479199	25.075213	60.20844
179	33981153	24.97261	60.2057417
180	1388479202	25.0755687	60.2084066
181	1388479203	25.0752968	60.2083687
182	33981158	24.9769492	60.2105547
183	33981160	24.9781062	60.2119181
184	33981161	24.9784446	60.2123456
185	33981162	24.9795699	60.2137937
186	33981163	24.9798747	60.2142143
187	29917932	25.0590012	60.1922388
188	3111715560	25.0349067	60.1689338
189	3111715566	25.0331261	60.1691659
190	277414640	24.8951972	60.2088184
191	34177777	24.972431	60.2113948
192	34177778	24.9719086	60.2119162
193	54035186	25.0442168	60.2148823
194	34177784	24.9715326	60.2110853
195	249660152	25.2020656	60.2705817
196	249660158	25.1971014	60.2685502
197	3111715583	25.0315319	60.1693172
198	249660159	25.1968002	60.2685657
199	249660162	25.1961727	60.2685612
200	34177796	24.9720378	60.2107177
201	34177797	24.9749395	60.2101878
202	249660166	25.1933624	60.2687904
203	54035207	25.0438588	60.2148601
204	313721610	25.05857	60.2635464
205	313721613	25.0531526	60.2639044
206	287539981	25.1708497	60.2507458
207	722731791	25.0713131	60.2658344
208	722731794	25.0712664	60.2670706
209	313721619	25.0574843	60.2636077
210	249660192	25.1867835	60.2663964
211	95650594	24.9441184	60.1983579
212	722731811	25.0729639	60.2701527
213	519045929	25.2066216	60.2593858
214	249660201	25.1918375	60.2702734
215	722731820	25.0696524	60.2698731
216	287540012	25.1710395	60.2499433
217	722731825	25.0732561	60.2702002
218	722731830	25.0733416	60.2701629
219	6030885695	25.0299249	60.249319
220	6030885698	25.0327705	60.2485773
221	2895119173	24.9864608	60.242315
222	1987642182	24.8778176	60.2332836
223	722731845	25.0729539	60.270064
224	722731850	25.0711279	60.2700303
225	722731852	25.0738059	60.2701561
226	722731857	25.068233	60.2698148
227	1987642200	24.874703	60.2365578
228	59835224	25.008456	60.2754964
229	3111715677	25.0326514	60.1715395
230	249660260	25.1914285	60.2708679
231	131941	24.8490174	60.1815237
232	249660261	25.1908241	60.2712977
233	3111715689	25.0236583	60.1721771
234	1520042859	24.9275125	60.1954244
235	958595957	25.1624448	60.2108493
236	670401408	24.9382004	60.1972797
237	91358080	24.9983781	60.2777187
238	670401410	24.9380539	60.1972617
239	2313585545	25.0531449	60.1944216
240	131979	24.8572126	60.1844258
241	131980	24.858723	60.184861
242	31622031	24.8936731	60.2253597
243	31622032	24.8945166	60.2254038
244	3111715729	25.029763	60.1744425
245	31490963	25.0848302	60.243359
246	259490713	24.9665924	60.1661783
247	29787034	24.9902979	60.2693189
248	3111715749	25.0349024	60.1754064
249	34177959	24.9717993	60.210498
250	95650728	24.9394871	60.19716
251	31458218	25.0071582	60.2368681
252	60457925	24.9076131	60.1641429
253	38568904	24.8973784	60.2563054
254	3435103177	25.0286343	60.2785076
255	292881354	25.0754486	60.2434943
256	292881355	25.0753194	60.2433361
257	3435103181	25.0285607	60.2785939
258	3435103182	25.0289895	60.2786434
